"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"08:46:57.3000711 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Latest","SUCCESS","Type: REG_SZ, Length: 210, Data: C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22000.35.229.0_neutral__8wekyb3d8bbwe"
"08:46:57.3000843 AM","DllHost.exe","27228","RegCloseKey","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS",""
"08:46:57.3002681 AM","DllHost.exe","27228","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-2890","SUCCESS","Type: REG_SZ, Length: 42, Data: (UTC+02:00) Khartoum"
"08:46:57.3004030 AM","DllHost.exe","27228","RegCloseKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS",""
"08:46:57.3004177 AM","DllHost.exe","27228","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sudan Standard Time\Display","SUCCESS","Type: REG_SZ, Length: 42, Data: (UTC+02:00) Khartoum"
"08:46:57.3004357 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sudan Standard Time\MUI_Dlt","SUCCESS","Type: REG_SZ, Length: 34, Data: @tzres.dll,-2891"
"08:46:57.3004517 AM","DllHost.exe","27228","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\MUI\StringCacheSettings","REPARSE","Desired Access: Query Value"
"08:46:57.3004647 AM","DllHost.exe","27228","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS","Desired Access: Query Value"
"08:46:57.3004774 AM","DllHost.exe","27228","RegQueryValue","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings\StringCacheGeneration","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4373"
"08:46:57.3004897 AM","DllHost.exe","27228","RegCloseKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS",""
"08:46:57.3005072 AM","DllHost.exe","27228","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"08:46:57.3005282 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","REPARSE","Desired Access: Read/Write"
"08:46:57.3005452 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS","Desired Access: Read/Write"
"08:46:57.3005639 AM","DllHost.exe","27228","RegCloseKey","HKCU","SUCCESS",""
"08:46:57.3008029 AM","DllHost.exe","27228","RegQueryValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-2891","NAME NOT FOUND","Length: 532"
"08:46:57.3012210 AM","DllHost.exe","27228","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS","Desired Access: Read"
"08:46:57.3012375 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"08:46:57.3012526 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Latest","SUCCESS","Type: REG_SZ, Length: 210, Data: C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22000.35.229.0_neutral__8wekyb3d8bbwe"
"08:46:57.3012661 AM","DllHost.exe","27228","RegCloseKey","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS",""
"08:46:57.3014391 AM","DllHost.exe","27228","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-2891","SUCCESS","Type: REG_SZ, Length: 40, Data: Sudan Daylight Time"
"08:46:57.3016166 AM","DllHost.exe","27228","RegCloseKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS",""
"08:46:57.3016341 AM","DllHost.exe","27228","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sudan Standard Time\Dlt","SUCCESS","Type: REG_SZ, Length: 40, Data: Sudan Daylight Time"
"08:46:57.3016537 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sudan Standard Time\MUI_Std","SUCCESS","Type: REG_SZ, Length: 34, Data: @tzres.dll,-2892"
"08:46:57.3016706 AM","DllHost.exe","27228","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\MUI\StringCacheSettings","REPARSE","Desired Access: Query Value"
"08:46:57.3016836 AM","DllHost.exe","27228","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS","Desired Access: Query Value"
"08:46:57.3016974 AM","DllHost.exe","27228","RegQueryValue","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings\StringCacheGeneration","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4373"
"08:46:57.3017095 AM","DllHost.exe","27228","RegCloseKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS",""
"08:46:57.3017277 AM","DllHost.exe","27228","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"08:46:57.3017431 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","REPARSE","Desired Access: Read/Write"
"08:46:57.3017542 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS","Desired Access: Read/Write"
"08:46:57.3017672 AM","DllHost.exe","27228","RegCloseKey","HKCU","SUCCESS",""
"08:46:57.3019605 AM","DllHost.exe","27228","RegQueryValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-2892","NAME NOT FOUND","Length: 532"
"08:46:57.3023321 AM","DllHost.exe","27228","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS","Desired Access: Read"
"08:46:57.3023479 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"08:46:57.3023601 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Latest","SUCCESS","Type: REG_SZ, Length: 210, Data: C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22000.35.229.0_neutral__8wekyb3d8bbwe"
"08:46:57.3023726 AM","DllHost.exe","27228","RegCloseKey","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS",""
"08:46:57.3025417 AM","DllHost.exe","27228","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-2892","SUCCESS","Type: REG_SZ, Length: 40, Data: Sudan Standard Time"
"08:46:57.3026659 AM","DllHost.exe","27228","RegCloseKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS",""
"08:46:57.3026789 AM","DllHost.exe","27228","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sudan Standard Time\Std","SUCCESS","Type: REG_SZ, Length: 40, Data: Sudan Standard Time"
"08:46:57.3026992 AM","DllHost.exe","27228","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sudan Standard Time","SUCCESS",""
"08:46:57.3027124 AM","DllHost.exe","27228","RegEnumKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones","SUCCESS","Index: 109, Name: Syria Standard Time"
"08:46:57.3027251 AM","DllHost.exe","27228","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"08:46:57.3027386 AM","DllHost.exe","27228","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Syria Standard Time","SUCCESS","Desired Access: Read/Write"
"08:46:57.3027574 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Syria Standard Time\MUI_Display","SUCCESS","Type: REG_SZ, Length: 34, Data: @tzres.dll,-1410"
"08:46:57.3027746 AM","DllHost.exe","27228","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\MUI\StringCacheSettings","REPARSE","Desired Access: Query Value"
"08:46:57.3027868 AM","DllHost.exe","27228","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS","Desired Access: Query Value"
"08:46:57.3027995 AM","DllHost.exe","27228","RegQueryValue","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings\StringCacheGeneration","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4373"
